header,organism,mol_type,isolate,isolation_source,host,geo_loc_name,collection_date
PP431240.1,Zika virus,genomic RNA,2-21-O,clinical,Homo sapiens,Colombia,2016-04-05
PP431239.1,Zika virus,genomic RNA,2-18-O,clinical,Homo sapiens,Colombia,2016-04-05
PP431238.1,Zika virus,genomic RNA,2-15-O,clinical,Homo sapiens,Colombia,2016-04-01
PP431237.1,Zika virus,genomic RNA,2-14-O,clinical,Homo sapiens,Colombia,2016-04-01
PP431236.1,Zika virus,genomic RNA,2-01-O,clinical,Homo sapiens,Colombia,2016-03-09
PP431235.1,Zika virus,genomic RNA,14053-O,clinical,Homo sapiens,Colombia,2016-07-07
PP431234.1,Zika virus,genomic RNA,14012-O,clinical,Homo sapiens,Colombia,2016-06-13
PP431233.1,Zika virus,genomic RNA,13995-O,clinical,Homo sapiens,Colombia,2016-06-08
PP431232.1,Zika virus,genomic RNA,13960-O,clinical,Homo sapiens,Colombia,2016-05-31
PP431231.1,Zika virus,genomic RNA,13937-S,clinical,Homo sapiens,Colombia,2016-05-18
PP431230.1,Zika virus,genomic RNA,13930-O,clinical,Homo sapiens,Colombia,2016-05-17
PP431229.1,Zika virus,genomic RNA,13843-O,clinical,Homo sapiens,Colombia,2016-04-06
PP431228.1,Zika virus,genomic RNA,13841-O,clinical,Homo sapiens,Colombia,2016-04-05
PP431227.1,Zika virus,genomic RNA,13833-O,clinical,Homo sapiens,Colombia,2016-04-01
PP431226.1,Zika virus,genomic RNA,13831-O,clinical,Homo sapiens,Colombia,2016-03-31
PP431225.1,Zika virus,genomic RNA,13828-O,clinical,Homo sapiens,Colombia,2016-03-31
PP431224.1,Zika virus,genomic RNA,13823-O,clinical,Homo sapiens,Colombia,2016-03-30
PP431223.1,Zika virus,genomic RNA,13820-S,clinical,Homo sapiens,Colombia,2016-03-30
PP431222.1,Zika virus,genomic RNA,13785-C636,cell culture,Homo sapiens,Colombia,2016-03-01
PP431221.1,Zika virus,genomic RNA,13779-O,clinical,Homo sapiens,Colombia,2016-03-09
PP431220.1,Zika virus,genomic RNA,13777-O,clinical,Homo sapiens,Colombia,2016-03-07
PP431219.1,Zika virus,genomic RNA,13754-O,clinical,Homo sapiens,Colombia,2016-02-17
PP431218.1,Zika virus,genomic RNA,13740-O,clinical,Homo sapiens,Colombia,2016-02-09
PP431217.1,Zika virus,genomic RNA,13738-Vp2,cell culture,Homo sapiens,Colombia,2016-02-21
PP431216.1,Zika virus,genomic RNA,13738-O,clinical,Homo sapiens,Colombia,2016-02-06
PP431215.1,Zika virus,genomic RNA,13734-P,clinical,Homo sapiens,Colombia,2016-02-04
PP431214.1,Zika virus,genomic RNA,13731-S,clinical,Homo sapiens,Colombia,2016-02-01
PQ129535.1,Zika virus,genomic RNA,ZIKV/H.sapiens/Brazil/PE243/2015,,Homo sapiens,Brazil,01-Jan-2015
PQ129534.1,Zika virus,genomic RNA,ZIKV/Aedes.sp/MEX/MEX_2-81/2016,,Aedes sp.,Mexico,22-Jan-2016
PQ129533.1,Zika virus,genomic RNA,SL1602,,Homo sapiens,Suriname,01-Jan-2016
PQ129495.1,Zika virus,genomic RNA,BD_147,,Homo sapiens,Bangladesh,2023-12-01
PQ129494.1,Zika virus,genomic RNA,BD_044,,Homo sapiens,Bangladesh,2023-10-23
PP872156.1,Zika virus,genomic RNA,,,,Spain,27-Jun-2016
MW122451.1,Zika virus,genomic RNA,PR/DB-ZIKV1025/2017,serum,Homo sapiens,Puerto Rico,03-Jan-2017
MW122450.1,Zika virus,genomic RNA,PR/DB-ZIKV1020/2017,serum,Homo sapiens,Puerto Rico,10-Jan-2017
MW122449.1,Zika virus,genomic RNA,PR/DB-ZIKV1019/2016,serum,Homo sapiens,Puerto Rico,08-Dec-2016
MW122448.1,Zika virus,genomic RNA,PR/DB-ZIKV1015/2016,serum,Homo sapiens,Puerto Rico,04-Oct-2016
MW122447.1,Zika virus,genomic RNA,PR/DB-ZIKV1000/2016,serum,Homo sapiens,Puerto Rico,27-Jun-2016
MW122446.1,Zika virus,genomic RNA,PR/DB-ZIKV999/2016,serum,Homo sapiens,Puerto Rico,20-Jun-2016
MW122445.1,Zika virus,genomic RNA,PR/DB-ZIKV996/2016,serum,Homo sapiens,Puerto Rico,08-Dec-2016
MW122444.1,Zika virus,genomic RNA,PR/DB-ZIKV992/2016,serum,Homo sapiens,Puerto Rico,10-Sep-2016
MW122443.1,Zika virus,genomic RNA,PR/DB-ZIKV987/2016,serum,Homo sapiens,Puerto Rico,31-Aug-2016
MW122442.1,Zika virus,genomic RNA,PR/DB-ZIKV986/2016,serum,Homo sapiens,Puerto Rico,26-Aug-2016
MW122441.1,Zika virus,genomic RNA,PR/DB-ZIKV984/2016,serum,Homo sapiens,Puerto Rico,23-Aug-2016
MW122440.1,Zika virus,genomic RNA,PR/DB-ZIKV983/2016,serum,Homo sapiens,Puerto Rico,03-Aug-2016
MW122439.1,Zika virus,genomic RNA,PR/DB-ZIKV966/2016,serum,Homo sapiens,Puerto Rico,29-Nov-2016
MW122438.1,Zika virus,genomic RNA,PR/DB-ZIKV961/2016,serum,Homo sapiens,Puerto Rico,21-Nov-2016
MW122437.1,Zika virus,genomic RNA,PR/DB-ZIKV947/2016,serum,Homo sapiens,Puerto Rico,20-Oct-2016
MW122436.1,Zika virus,genomic RNA,PR/DB-ZIKV920/2016,serum,Homo sapiens,Puerto Rico,09-Oct-2016
MW122435.1,Zika virus,genomic RNA,PR/DB-ZIKV894/2016,serum,Homo sapiens,Puerto Rico,17-Aug-2016
MW122434.1,Zika virus,genomic RNA,PR/DB-ZIKV885/2016,serum,Homo sapiens,Puerto Rico,19-Jul-2016
MW122433.1,Zika virus,genomic RNA,PR/DB-ZIKV884/2016,serum,Homo sapiens,Puerto Rico,27-Jul-2016
MW122432.1,Zika virus,genomic RNA,PR/DB-ZIKV880/2016,serum,Homo sapiens,Puerto Rico,28-Jun-2016
MW122431.1,Zika virus,genomic RNA,PR/DB-ZIKV871/2016,serum,Homo sapiens,Puerto Rico,03-Nov-2016
MW122430.1,Zika virus,genomic RNA,PR/DB-ZIKV841/2016,serum,Homo sapiens,Puerto Rico,03-Nov-2016
MW122429.1,Zika virus,genomic RNA,PR/DB-ZIKV802/2016,serum,Homo sapiens,Puerto Rico,02-Oct-2016
MW122428.1,Zika virus,genomic RNA,PR/DB-ZIKV799/2016,serum,Homo sapiens,Puerto Rico,15-Sep-2016
MW122427.1,Zika virus,genomic RNA,PR/DB-ZIKV787/2016,serum,Homo sapiens,Puerto Rico,23-Aug-2016
MW122426.1,Zika virus,genomic RNA,PR/DB-ZIKV781/2016,serum,Homo sapiens,Puerto Rico,03-Jul-2016
MW122425.1,Zika virus,genomic RNA,PR/DB-ZIKV778/2016,serum,Homo sapiens,Puerto Rico,29-Jun-2016
MW122424.1,Zika virus,genomic RNA,PR/DB-ZIKV774/2016,serum,Homo sapiens,Puerto Rico,02-Dec-2016
MW122423.1,Zika virus,genomic RNA,PR/DB-ZIKV723/2016,serum,Homo sapiens,Puerto Rico,06-Oct-2016
MW122422.1,Zika virus,genomic RNA,PR/DB-ZIKV700/2016,serum,Homo sapiens,Puerto Rico,07-Sep-2016
MW122421.1,Zika virus,genomic RNA,PR/DB-ZIKV657/2016,serum,Homo sapiens,Puerto Rico,17-Aug-2016
MW122420.1,Zika virus,genomic RNA,PR/DB-ZIKV650/2016,serum,Homo sapiens,Puerto Rico,09-Aug-2016
MW122419.1,Zika virus,genomic RNA,PR/DB-ZIKV617/2016,serum,Homo sapiens,Puerto Rico,09-Jul-2016
MW122418.1,Zika virus,genomic RNA,PR/DB-ZIKV615/2016,serum,Homo sapiens,Puerto Rico,26-May-2016
MW122417.1,Zika virus,genomic RNA,PR/DB-ZIKV613/2016,serum,Homo sapiens,Puerto Rico,13-Jun-2016
MW122416.1,Zika virus,genomic RNA,PR/DB-ZIKV611/2016,serum,Homo sapiens,Puerto Rico,04-Jun-2016
MW122415.1,Zika virus,genomic RNA,PR/DB-ZIKV599/2017,serum,Homo sapiens,Puerto Rico,20-Jan-2017
MW122414.1,Zika virus,genomic RNA,PR/DB-ZIKV590/2016,serum,Homo sapiens,Puerto Rico,15-Aug-2016
MW122413.1,Zika virus,genomic RNA,PR/DB-ZIKV588/2016,serum,Homo sapiens,Puerto Rico,11-Dec-2016
MW122412.1,Zika virus,genomic RNA,PR/DB-ZIKV569/2016,serum,Homo sapiens,Puerto Rico,03-Nov-2016
MW122411.1,Zika virus,genomic RNA,PR/DB-ZIKV556/2016,serum,Homo sapiens,Puerto Rico,16-Oct-2016
MW122410.1,Zika virus,genomic RNA,PR/DB-ZIKV554/2016,serum,Homo sapiens,Puerto Rico,25-Oct-2016
MW122409.1,Zika virus,genomic RNA,PR/DB-ZIKV552/2016,serum,Homo sapiens,Puerto Rico,20-Oct-2016
MW122408.1,Zika virus,genomic RNA,PR/DB-ZIKV540/2016,serum,Homo sapiens,Puerto Rico,27-Sep-2016
MW122407.1,Zika virus,genomic RNA,PR/DB-ZIKV534/2016,serum,Homo sapiens,Puerto Rico,31-Aug-2016
MW122406.1,Zika virus,genomic RNA,PR/DB-ZIKV523/2016,serum,Homo sapiens,Puerto Rico,18-Aug-2016
MW122405.1,Zika virus,genomic RNA,PR/DB-ZIKV511/2016,serum,Homo sapiens,Puerto Rico,19-Aug-2016
MW122404.1,Zika virus,genomic RNA,PR/DB-ZIKV503/2016,serum,Homo sapiens,Puerto Rico,15-Aug-2016
MW122403.1,Zika virus,genomic RNA,PR/DB-ZIKV489/2016,serum,Homo sapiens,Puerto Rico,30-Jun-2016
MW122402.1,Zika virus,genomic RNA,PR/DB-ZIKV484/2016,serum,Homo sapiens,Puerto Rico,01-Jul-2016
MW122401.1,Zika virus,genomic RNA,PR/DB-ZIKV455/2016,serum,Homo sapiens,Puerto Rico,15-Sep-2016
MW122400.1,Zika virus,genomic RNA,PR/DB-ZIKV451/2016,serum,Homo sapiens,Puerto Rico,10-Nov-2016
MW122399.1,Zika virus,genomic RNA,PR/DB-ZIKV372/2016,serum,Homo sapiens,Puerto Rico,04-Nov-2016
MW122398.1,Zika virus,genomic RNA,PR/DB-ZIKV350/2016,serum,Homo sapiens,Puerto Rico,19-Sep-2016
MW122397.1,Zika virus,genomic RNA,PR/DB-ZIKV347/2016,serum,Homo sapiens,Puerto Rico,27-Sep-2016
MW122396.1,Zika virus,genomic RNA,PR/DB-ZIKV323/2016,serum,Homo sapiens,Puerto Rico,11-Aug-2016
MW122395.1,Zika virus,genomic RNA,PR/DB-ZIKV306/2016,serum,Homo sapiens,Puerto Rico,23-Jul-2016
MW122394.1,Zika virus,genomic RNA,PR/DB-ZIKV285/2016,serum,Homo sapiens,Puerto Rico,14-Jul-2016
MW122393.1,Zika virus,genomic RNA,PR/DB-ZIKV282/2016,serum,Homo sapiens,Puerto Rico,24-Jun-2016
MW122392.1,Zika virus,genomic RNA,PR/DB-ZIKV275/2016,serum,Homo sapiens,Puerto Rico,07-Nov-2016
MW122391.1,Zika virus,genomic RNA,PR/DB-ZIKV272/2016,serum,Homo sapiens,Puerto Rico,06-Aug-2016
MW122390.1,Zika virus,genomic RNA,PR/DB-ZIKV270/2016,serum,Homo sapiens,Puerto Rico,11-Oct-2016
MW122389.1,Zika virus,genomic RNA,PR/DB-ZIKV269/2016,serum,Homo sapiens,Puerto Rico,07-Sep-2016
MW122388.1,Zika virus,genomic RNA,PR/DB-ZIKV266/2016,serum,Homo sapiens,Puerto Rico,31-Oct-2016
MW122387.1,Zika virus,genomic RNA,PR/DB-ZIKV256/2016,serum,Homo sapiens,Puerto Rico,14-Jul-2016
MW122386.1,Zika virus,genomic RNA,PR/DB-ZIKV255/2016,serum,Homo sapiens,Puerto Rico,17-Jul-2016
MW122385.1,Zika virus,genomic RNA,PR/DB-ZIKV245/2016,serum,Homo sapiens,Puerto Rico,23-Jun-2016
MW122384.1,Zika virus,genomic RNA,PR/DB-ZIKV236/2016,serum,Homo sapiens,Puerto Rico,19-Sep-2016
MW122383.1,Zika virus,genomic RNA,PR/DB-ZIKV232/2016,serum,Homo sapiens,Puerto Rico,25-Jun-2016
MW122382.1,Zika virus,genomic RNA,PR/DB-ZIKV219/2016,serum,Homo sapiens,Puerto Rico,23-Jun-2016
MW122381.1,Zika virus,genomic RNA,PR/DB-ZIKV172/2016,serum,Homo sapiens,Puerto Rico,17-Oct-2016
MW122380.1,Zika virus,genomic RNA,PR/DB-ZIKV104/2016,serum,Homo sapiens,Puerto Rico,26-Aug-2016
MW122379.1,Zika virus,genomic RNA,PR/DB-ZIKV093/2016,serum,Homo sapiens,Puerto Rico,15-Aug-2016
MW122378.1,Zika virus,genomic RNA,PR/DB-ZIKV070/2016,serum,Homo sapiens,Puerto Rico,01-Jul-2016
MW122377.1,Zika virus,genomic RNA,PR/DB-ZIKV018/2016,serum,Homo sapiens,Puerto Rico,30-Jul-2016
MW122376.1,Zika virus,genomic RNA,PR/DB-ZIKV010/2016,serum,Homo sapiens,Puerto Rico,28-Jun-2016
MW122375.1,Zika virus,genomic RNA,PR/DB-ZIKV003/2016,serum,Homo sapiens,Puerto Rico,13-Jul-2016
MW122374.1,Zika virus,genomic RNA,PR/DB-ZIKV002/2016,serum,Homo sapiens,Puerto Rico,27-Apr-2016
MW122373.1,Zika virus,genomic RNA,PR/DB-ZIKV001/2016,serum,Homo sapiens,Puerto Rico,20-Jul-2016
KX377336.1,Zika virus,genomic RNA,,,Aedes aegypti (mosquito),Malaysia,Jul-1966
PP626409.1,Zika virus,genomic RNA,ZikaNIH24,serum,Homo sapiens,Thailand,2017
PP626408.1,Zika virus,genomic RNA,ZikaBS,brain,Homo sapiens,Thailand,2016
PP626407.1,Zika virus,genomic RNA,Zika-PPZS05,serum,Homo sapiens,,2016
PP626406.1,Zika virus,genomic RNA,Zika-60-27521,serum,Homo sapiens,,2016
PP626405.1,Zika virus,genomic RNA,Zika-59-28561,serum,Homo sapiens,Thailand,2016
PP626404.1,Zika virus,genomic RNA,Zika-3259-2011,urine,Homo sapiens,Thailand,2016
PP626403.1,Zika virus,genomic RNA,Z5-ERC-R2,serum,Homo sapiens,Thailand,2017
PP626402.1,Zika virus,genomic RNA,Z4-ERC-R2,serum,Homo sapiens,Thailand,2017
PP626401.1,Zika virus,genomic RNA,Z3-ERC-R2,serum,Homo sapiens,Thailand,2016
PP626400.1,Zika virus,genomic RNA,Z2-ERC-R2,serum,Homo sapiens,Thailand,2017
PP626399.1,Zika virus,genomic RNA,Z1-ERC-R2,serum,Homo sapiens,Thailand,2017
MT377501.2,Zika virus,genomic RNA,MU-DMSC-5/2017,serum,Homo sapiens,Thailand: Bangkok,22-Nov-2017
MT377500.2,Zika virus,genomic RNA,MU-DMSC-6/2016,serum,Homo sapiens,Thailand: Phetchaburi,20-Dec-2016
MT377499.2,Zika virus,genomic RNA,MU-DMSC-5/2016,serum,Homo sapiens,Thailand: Nakhon Pathom,08-Dec-2016
MT377496.2,Zika virus,genomic RNA,MU-DMSC-2/2016,serum,Homo sapiens,Thailand: Chonburi,20-Nov-2016
MT377495.2,Zika virus,genomic RNA,MU-DMSC-4/2017,serum,Homo sapiens,Thailand: Samut Sakorn,04-Dec-2017
MT377493.2,Zika virus,genomic RNA,MU-DMSC-2/2017,serum,Homo sapiens,Thailand: Samut Sakorn,23-Feb-2017
MT377491.2,Zika virus,genomic RNA,MU-DMSC-1/2017,serum,Homo sapiens,Thailand: Nakorn Ratchasrima,20-Mar-2017
PP316140.1,Zika virus,genomic RNA,Zika virus/human/Haiti/36/2021,serum,Homo sapiens,Haiti,02-Dec-2021
PP316139.1,Zika virus,genomic RNA,Zika virus/human/Haiti/15/2021,serum,Homo sapiens,Haiti,12-May-2021
OQ338853.1,Zika virus,genomic RNA,20408F1/BrazilGO/2016,serum,Homo sapiens,Brazil: Goias,14-Mar-2016
PP115590.1,Zika virus,genomic RNA,THA_139N,,Homo sapiens,Thailand,2014
ON123672.1,Zika virus,genomic RNA,,,,,
OP858784.1,Zika virus,genomic RNA,67,,Homo sapiens,Cuba,02-Jan-2020
OP858781.1,Zika virus,genomic RNA,62,,Homo sapiens,Cuba,29-Oct-2018
OP858780.1,Zika virus,genomic RNA,61,,Homo sapiens,Cuba,29-Oct-2018
OP858776.1,Zika virus,genomic RNA,56,,Homo sapiens,Cuba,01-Mar-2018
OP858774.1,Zika virus,genomic RNA,54,,Homo sapiens,Cuba,20-Mar-2018
OP858772.1,Zika virus,genomic RNA,52,,Homo sapiens,Cuba,22-Mar-2018
OP858771.1,Zika virus,genomic RNA,51,,Homo sapiens,Cuba,22-Feb-2018
OP858770.1,Zika virus,genomic RNA,50,,Homo sapiens,Cuba,16-Feb-2018
OP858769.1,Zika virus,genomic RNA,49,,Homo sapiens,Cuba,15-Feb-2018
OP858768.1,Zika virus,genomic RNA,48,,Homo sapiens,Cuba,21-Jan-2018
OP858766.1,Zika virus,genomic RNA,45,,Homo sapiens,Cuba,23-Oct-2017
OP858764.1,Zika virus,genomic RNA,43,,Homo sapiens,Cuba,17-Oct-2017
OP858763.1,Zika virus,genomic RNA,42,,Homo sapiens,Cuba,22-Oct-2017
OP858759.1,Zika virus,genomic RNA,37,,Homo sapiens,Cuba,02-Sep-2017
OP858756.1,Zika virus,genomic RNA,33,,Homo sapiens,Cuba,Jun-2017
OP858754.1,Zika virus,genomic RNA,30,,Homo sapiens,Cuba,Mar-2017
OP858753.1,Zika virus,genomic RNA,28,,Homo sapiens,Cuba,Mar-2017
OP858752.1,Zika virus,genomic RNA,27,,Homo sapiens,Cuba,29-Jan-2017
OP858749.1,Zika virus,genomic RNA,23,,Homo sapiens,Cuba,Oct-2016
OP858743.1,Zika virus,genomic RNA,15,,Homo sapiens,Cuba,Sep-2016
OP858737.1,Zika virus,genomic RNA,09,,Homo sapiens,Cuba,Sep-2016
OP858732.1,Zika virus,genomic RNA,04,,Homo sapiens,Cuba,20-Oct-2016
OP858731.1,Zika virus,genomic RNA,03,,Homo sapiens,Cuba,25-Sep-2016
OP858730.1,Zika virus,genomic RNA,02,,Homo sapiens,Cuba,Mar-2016
OP858729.1,Zika virus,genomic RNA,01,,Homo sapiens,Cuba,Mar-2016
ON142674.1,Zika virus,genomic RNA,AB3502,,Homo sapiens,Thailand,05-Jan-2021
ON142673.1,Zika virus,genomic RNA,AB3234,,Homo sapiens,Thailand,09-Oct-2020
ON142672.1,Zika virus,genomic RNA,BK3007,,Homo sapiens,Thailand,01-Jul-2020
ON142671.1,Zika virus,genomic RNA,BK2717,,Homo sapiens,Thailand,17-Jan-2020
OR264647.1,Zika virus,genomic RNA,AB4537,,Homo sapiens,Thailand,16-Mar-2023
OR264646.1,Zika virus,genomic RNA,AB4506,,Homo sapiens,Thailand,04-Mar-2023
OR264645.1,Zika virus,genomic RNA,AB4262,,Homo sapiens,Thailand,19-Dec-2022
OR264644.1,Zika virus,genomic RNA,AB4153,,Homo sapiens,Thailand,18-Nov-2022
OR264643.1,Zika virus,genomic RNA,AB4070,,Homo sapiens,Thailand,01-Nov-2022
OR264642.1,Zika virus,genomic RNA,AB3564,,Homo sapiens,Thailand,05-Feb-2021
OR264641.1,Zika virus,genomic RNA,AB4443,,Homo sapiens,Thailand,14-Feb-2023
OR264640.1,Zika virus,genomic RNA,AB4440,,Homo sapiens,Thailand,14-Feb-2023
OR264639.1,Zika virus,genomic RNA,AB4421,,Homo sapiens,Thailand,02-Feb-2023
OR264638.1,Zika virus,genomic RNA,AB4398,,Homo sapiens,Thailand,28-Jan-2023
OR264637.1,Zika virus,genomic RNA,AB4215,,Homo sapiens,Thailand,03-Dec-2022
OR264636.1,Zika virus,genomic RNA,AB4177,,Homo sapiens,Thailand,24-Nov-2022
OR264635.1,Zika virus,genomic RNA,AB4174,,Homo sapiens,Thailand,23-Nov-2022
OR264634.1,Zika virus,genomic RNA,AB4119,,Homo sapiens,Thailand,09-Nov-2022
OR264633.1,Zika virus,genomic RNA,AB4052,,Homo sapiens,Thailand,29-Oct-2022
OR264632.1,Zika virus,genomic RNA,AB3790,,Homo sapiens,Thailand,15-Jun-2022
OR264631.1,Zika virus,genomic RNA,AB3389,,Homo sapiens,Thailand,27-Nov-2020
OK569760.1,Zika virus,genomic RNA,,,,,
OK569759.1,Zika virus,genomic RNA,,,,,
OK569758.1,Zika virus,genomic RNA,,,,,
OK569757.1,Zika virus,genomic RNA,,,,,
OK569756.1,Zika virus,genomic RNA,,,,,
OK569755.1,Zika virus,genomic RNA,,,,,
OQ727578.1,Zika virus,genomic RNA,TRDP433,sera,Homo sapiens,"Brazil: Bahia, Salvador, Sao Marcos",09-Jul-2015
OQ727576.1,Zika virus,genomic RNA,TRDP317,sera,Homo sapiens,"Brazil: Bahia, Salvador, Jardim Nova Esperanca",26-May-2015
OQ727575.1,Zika virus,genomic RNA,TRDP309,sera,Homo sapiens,"Brazil: Bahia, Salvador, Sao Marcos",26-May-2015
OQ727573.1,Zika virus,genomic RNA,TRDP282,sera,Homo sapiens,"Brazil: Bahia, Salvador, Sao Marcos",21-May-2015
OQ727570.1,Zika virus,genomic RNA,TRDP256,sera,Homo sapiens,"Brazil: Bahia, Salvador, Sao Marcos",19-May-2015
OQ727568.1,Zika virus,genomic RNA,TRDP238,sera,Homo sapiens,"Brazil: Bahia, Salvador, Sao Marcos",18-May-2015
OQ727567.1,Zika virus,genomic RNA,TRDP173,sera,Homo sapiens,"Brazil: Bahia, Salvador, Dom Avelar",06-May-2015
OQ727566.1,Zika virus,genomic RNA,ZK0152,urine,Homo sapiens,"Brazil: Bahia, Campo Formoso, Tiquara",09-Apr-2016
OQ727565.1,Zika virus,genomic RNA,ZK0110,plasma,Homo sapiens,"Brazil: Bahia, Campo Formoso, Gameleira do Dida",2016-04-08
OQ180929.1,Zika virus,genomic RNA,ArD41519,,Aedes africanus,Senegal,1984
OQ165285.1,Zika virus,genomic RNA,p6740,,A. aegypti mosquitoes,Malaysia,1966
OQ661919.1,Zika virus,genomic RNA,SV180092-02,C6/36-3,Homo sapiens,Thailand,06-Nov-2018
OQ661918.1,Zika virus,genomic RNA,SV0014/18,"TS-1, C6/36-1",Homo sapiens,Thailand,2018
OQ661917.1,Zika virus,genomic RNA,SK2520/18,"TS-1, C6/36-1",Homo sapiens,Thailand,25-Aug-2018
OQ661916.1,Zika virus,genomic RNA,RTA-SR-U-A124,C6/36-4,Homo sapiens,Thailand,12-Sep-2016
OQ661915.1,Zika virus,genomic RNA,31488/13,"TS1, C6/36-2",Homo sapiens,Thailand,19-Aug-2013
OQ661914.1,Zika virus,genomic RNA,30790/11,"TS-1, C6/36-1",Homo sapiens,Thailand,04-Jul-2011
OQ661913.1,Zika virus,genomic RNA,30634/17,"TS1, C6/36-2",Homo sapiens,Thailand,11-Jul-2017
OQ661912.1,Zika virus,genomic RNA,00583/17,"TS1, C6/36-2",Homo sapiens,Thailand,22-Aug-2017
MN025403.1,Zika virus,genomic RNA,15555,,Homo sapiens,Guinea: Faranah,29-Aug-2018
OP898542.1,Zika virus,genomic RNA,V_8565,,Homo sapiens,Colombia,01-Apr-2018
OP898541.1,Zika virus,genomic RNA,C11541,,Homo sapiens,Colombia,01-Oct-2018
OL450366.1,Zika virus,genomic RNA,ZIKV/Haiti/1332/2015,plasma,Homo sapiens,Haiti,20-Oct-2015
